"id","name","longitude","latitude"
"RSM00023058","ANTIPAJUTA",76.9,69.08
"RSM00025062","MYS BILLINGSA",175.77,69.8797
"RSM00025822","GIZIGA",160.367,61.95
"RSM00025954","KORF",166,60.35
"RSM00025677","BERINGOVSKAJA",179.32,63.05
"RSM00032287","UST-HAIRYUZOVO",156.7,57.08
"RSM00025912","OLA",151.28,59.57
"RSM00031866","SOSUNOVO",138.333,46.533
"RSM00032069","PILVO",142.167,50.05
"RSM00023345","NYDA",72.9,66.5997
"RSM00031088","OHOTSK",143.2164,59.3667
"RSM00031286","CUMIKAN",135.317,54.717
"RSM00031436","DZAORE",141.3,52.7
"RSM00020667","BELY ISLAND",70.0294,73.33
"RSM00021824","TIKSI",128.9197,71.58
"RSM00020087","OSTROV GOLOMJANNYJ",90.62,79.55
"RSM00032564","OKTJABRSKAJA",156.2,52.7
"RSM00020476","STERLEGOVA",88.9,75.42
"RSM00032133","DOLINSK",142.8,47.333
"RSM00032217","CAPE VASILEVA",155.4,50.017
"RSM00020292","GMO IM.E.K.FEDOROVA",104.3,77.72
"RSM00021432","OSTROV KOTELNYJ",137.87,76
"RSM00021611","TERPJAJ-TUMSA",118.67,73.55
"RSM00021358","ZOHOVA ISLAND",152.833,76.15
"RSM00023074","DUDINKA",86.17,69.4
"RSM00031995","OLGA,BAY",135.27,43.73
"RSM00023426","MUZI",64.717,65.382
"RSM00025206","SREDHEKOLYMSK",153.72,67.45
"RSM00021647","SHALAUROVA MYS",143.2297,73.18
"RSM00031561","KOMSOMOLSK-NA-AMURE",137.033,50.533
"RSM00023032","MARRE-SALE",66.8194,69.72
"RSM00025034","BUHTA AMBARCIK",162.3,69.62
"RSM00025551","MARKOVO",170.4167,64.6831
"RSM00032408","UST-KAMCHATSK",162.467,56.217
"RSM00020891","HATANGA",102.4667,71.9831
"RSM00023662","TOLKA",82.08,63.98
"RSM00023472","TURUHANSK",87.9331,65.7831
"RSM00024143","DZARDZAN",124,68.73
"RSM00020674","DIKSON",80.4,73.5
"RSM00021946","CHOKURDAH",147.8831,70.6167
"KZ000035106","YANVARCEVO",52.3,51.5
"RSM00023933","HANTY-MANSIJSK",69.1167,61.0167
"RSM00031725","SMIDOVICH",133.83,48.62
"RSM00028382","UST-ISIM",57.683,57.717
"RSM00023987","JARCEVO",90.233,60.25
"RSM00028465","JALTUROVOSK",66.35,56.683
"RSM00029111","SREDNY VASJUGAN",78.2,59.2
"RSM00024643","HATYRYK-HOMO",124.83,63.95
"RSM00031913","TURIJ ROG",131.983,45.217
"RSM00028722","UFA",55.8331,54.7167
"RSM00029405","KYSTOVKA",76.567,56.6
"RSM00031583","MALINOVKA",129.917,49.783
"RSM00028786","POLTAVKA",71.75,54.367
"RSM00024266","VERHOJANSK",133.4,67.5667
"RSM00029813","KRASNOOZERSK",79.233,53.967
"RSM00028748","TROITSK",61.5994,54.0994
"RSM00023914","CHERDYN'",56.52,60.4
"RSM00031371","CHERNJAEVO",126,52.78
"RSM00036034","RUBCOVSK",81.2167,51.5
"RSM00030157","MAMA",112.867,58.317
"RSM00023891","BAJKIT",96.3667,61.6667
"RSM00024105","ESSEJ",102.37,68.47
"RSM00029848","TOGUL",85.917,53.467
"RSM00030679","GORBICA",119.217,53.1
"RSM00030521","ZHIGALOVO",105.1667,54.8
"RSM00031263","LOKSAK",130.449,54.733
"RSM00030961","OLOVJANNAJA",115.583,50.95
"RSM00030844","HILOK",110.47,51.35
"RSM00029892","HADAMA",98.817,53.95
"RSM00024561","SYURYUN-KYUYEL",130.683,65
"RSM00036231","ONGUDAJ",86.133,50.75
"RSM00029662","BALAHTA",91.667,55.383
"RSM00030117","UST-ILIMSK",102.75,58.2
"RSM00030822","BABUSKIN",105.85,51.72
"RSM00024679","VOSTOCHNAJA",139.6,63.22
"RSM00024538","CHUMPURUK",116.92,64.23
"RSM00024966","UST-MAJA",134.4497,60.3831
"RSM00024606","KISLOKAN",103.97,63.58
"RSM00024125","OLENEK",112.4331,68.5
"RSM00030455","UAKIT",113.617,55.467
"RSM00030372","CHARA",118.2667,56.9
"RSM00024790","SUSUMAN",148.17,62.78
"RSM00031004","ALDAN",125.0331,58.6167
"RSM00036307","ERZIN",95.12,50.27
"RSM00025503","KORKODON",153.97,64.75
"RSM00023589","TUTONCHANY",93.78,64.2
"RSM00029328","BAKCHAR",82.07,57
"RSM00025428","OMOLON",160.53,65.23
"RSM00024918","PREOBRAZENKA",107.967,60.067
"RSM00035233","DOMBAROVSKIJ",59.65,50.75
"RSM00028049","GARI",62.333,59.433
"RSM00029282","BOGUCANY",97.45,58.3831
"RSM00024382","UST-MOMA",143.2297,66.45
"RSM00031152","NELKAN",136.15,57.65
"RSM00020982","VOLOCHANKA",94.5,70.97
"RSM00031969","POSET",130.8,42.65
"RSM00023724","NJAKSIMVOL",60.8694,62.43
"RSM00023966","VANZIL-KYNAK",84.08,60.35
"RSM00024959","JAKUTSK",129.7167,62.0167
"RSM00024725","TUOY-KHAYA",111.23,62.53
"RSM00024076","DEPUTATSKIJ",139.6697,69.33
"RSM00024944","OLEKMINSK",120.4167,60.4
"RSM00031123","CJULBJU",130.9,57.767
"RSM00036278","MUGUR-AKSY",90.43,50.37
"RSM00029974","OLENJA RECHKA",93.23,52.8
